Gene_Symbol,log2FoldChange
H3C14,-1.19330881069948
SCD,1.8822657740483
DIAPH3,-1.76416040188191
SIVA1,-2.34978267244213
SLU7,0.77478437337471
TASOR,-1.12217960810301
POLR2A,-0.583356595220376
MON2,1.21969636000645
RNF111,1.12026770211728
PGAM5,-0.78646141145051
U2AF1,-0.508417390506376
GCH1,-1.49162387698605
MIGA1,-5.26612543391292
ZNF789,1.06782954985614
COL6A1,0.896249710902487
DTL,-1.40380627706209
GAL,-6.51760592979036
CRYL1,0.82342658583273
FOXK1,1.03848714745901
SPINDOC,-0.623133404868426
PPME1,-0.751480145863541
EPB41,0.893494170280193
PYROXD2,0.979294134983644
CIP2A,-1.1738261280794
OSBPL5,0.849383074447195
CALCOCO1,1.14603724833336
CFAP36,0.677543533987016
KLHL15,-1.20652984603816
APLP1,-1.86267762317748
SPRY1,0.891614035335794
ZNF77,-5.03878366226892
INIP,-0.723429903993076
RAD51,-0.669603450040331
TBC1D8,1.96396568899541
BBS9,1.00555099163852
IPMK,1.00890323375437
TRIP11,0.678786594686465
UBR2,1.06272489698139
UCKL1,0.935020064502233
NFIA,-0.748399297198174
TRMT1,0.665536703144457
EMP1,1.09797841560041
BCL2L13,1.2821260399531
TOGARAM1,1.22053659698764
JDP2,-1.50897080478268
ARG2,-1.55102913981761
MAP3K6,-1.09746357990485
DUS2,0.843702632880193
CCDC159,0.95426757350365
PIGG,0.512245267134887
BTBD8,1.46838407252756
H3C12,-1.92780193743514
FKBP5,-1.66561936859186
H3C3,-1.1413786871918
H4C1,-1.43515710903372
CD3EAP,-5.56382026772951
RNF40,-2.28661693604087
BCOR,1.25633581511141
BUD13,-1.84323503599921
POC1A,-0.801204233988905
EFR3A,0.533209709384118
SUN3,1.19154722076929
CDC7,-1.94385710794621
ACOX2,-1.13427272725732
NTMT1,-0.805242330382984
TSC1,0.421449209098888
CREBRF,2.24046132615393
ZNF114,1.24941773562296
LDLR,0.412023157895291
ZNF34,-5.7133488717732
MDFIC,-0.472187763265451
ANXA8L1,1.19139106587546
NAGLU,1.27855212075704
SIGMAR1,-5.95823581418227
MCM8,-1.48867199469999
