gene,bmd,bmdl,bmdu,model,aic,pvalue,converged,error
CCDC85B_28333,2.443835392581015,1.7907940784236076,9.420189627172682,Power,19.747532314908202,0.8916132731943576,True,
CCDC86_1031,,,,,,,False,No valid model fit
CCDC88B_24953,,,,,,,False,No valid model fit
CCDC8_16492,,,,,,,False,No valid model fit
CCDC90B_92771,,,,,,,False,No valid model fit
CCDC92_1033,,,,,,,False,No valid model fit
CCDC96_16879,,,,,,,False,No valid model fit
CCHCR1_18220,,,,,,,False,No valid model fit
CCNB1IP1_1054,,,,,,,False,No valid model fit
CCND2_1063,,,,,,,False,No valid model fit
CCND2_23334,,,,,,,False,No valid model fit
CCNDBP1_1069,0.27802619062771794,0.13677647213090452,0.9195242986971358,Hill,6.412227037799431,0.49726762906838895,True,
CCNE1_1070,,,,,,,False,No valid model fit
CCNG1_1079,,,,,,,False,No valid model fit
CCNG2_20708,,,,,,,False,No valid model fit
CCNJ_26431,,,,,,,False,No valid model fit
CCS_23202,5.527024269104004,3.3903548657930074,14.797932035525342,Linear,31.18549417825207,0.1240148358482821,True,
CCT3_1099,,,,,,,False,No valid model fit
CCT5_92875,,,,,,,False,No valid model fit
CCT6B_23336,,,,,,,False,No valid model fit
CCT7_92759,,,,,,,False,No valid model fit
CCT7_92760,,,,,,,False,No valid model fit
CCZ1B_14443,,,,,,,False,No valid model fit
CD109_19701,1.657944427877158,0.4388470147792133,9.564473774289407,Hill,28.884817595569665,0.5544494018150723,True,
CD19_28252,,,,,,,False,No valid model fit
CD276_12737,,,,,,,False,No valid model fit
CD302_23412,,,,,,,False,No valid model fit
CD44_1134,,,,,,,False,No valid model fit
CD72_11843,4.735303521156311,3.0420920279148027,10.562138154579886,Linear,61.34526615281615,0.11583666567653483,True,
CD99L2_11290,,,,,,,False,No valid model fit
CDC123_25951,,,,,,,False,No valid model fit
CDC25A_1158,4.604902218139045,2.98168846997601,10.001566811789877,Power,14.57530423712757,0.16607455532320192,True,
CDC25C_19441,,,,,,,False,No valid model fit
CDC42EP2_26375,,,,,,,False,No valid model fit
CDC5L_1174,,,,,,,False,No valid model fit
CDC6_1177,,,,,,,False,No valid model fit
CDCA3_26988,,,,,,,False,No valid model fit
CDH23_26989,,,,,,,False,No valid model fit
CDH23_26990,,,,,,,False,No valid model fit
CDH24_87671,,,,,,,False,No valid model fit
CDHR1_11261,,,,,,,False,No valid model fit
CDHR5_90950,,,,,,,False,No valid model fit
CDK10_26996,,,,,,,False,No valid model fit
CDK16_92461,,,,,,,False,No valid model fit
CDK19_1201,,,,,,,False,No valid model fit
CDK2_1202,7.157340049743652,3.4810876095450274,11.292550187452546,Polynomial 2,36.512762209039046,0.462671860329392,True,
CDK5RAP3_93318,,,,,,,False,No valid model fit
CDK5_1206,6.846442222595215,3.1523637294059075,10.117021996700405,Polynomial 2,28.04436828291849,0.8138731223014012,True,
CDK6_1213,,,,,,,False,No valid model fit
CDKL5_24672,,,,,,,False,No valid model fit
CDKN1C_15785,,,,,,,False,No valid model fit
CDKN2AIPNL_11799,,,,,,,False,No valid model fit
CDNF_14167,,,,,,,False,No valid model fit
CDPF1_21513,,,,,,,False,No valid model fit
CDR2_19505,6.915551424026489,3.260256603951298,10.319080760627163,Polynomial 2,62.40396663395175,0.6978906162024858,True,
CDS2_17287,0.2231476699607015,0.031416541479314025,1.0396713864138742,Hill,34.05290782374379,0.17448150991981481,True,
CDT1_21099,,,,,,,False,No valid model fit
CEACAM6_26148,2.0366367266872896,0.3934940609315194,9.77978986235453,Hill,58.90704910502501,0.1804032300541819,True,
CEBPB_10745,,,,,,,False,No valid model fit
CEBPG_16478,,,,,,,False,No valid model fit
CEBPZ_1245,,,,,,,False,No valid model fit
CELF1_90519,,,,,,,False,No valid model fit
CENPF_1252,,,,,,,False,No valid model fit
CENPH_11358,,,,,,,False,No valid model fit
CENPM_23837,,,,,,,False,No valid model fit
CENPN_92971,,,,,,,False,No valid model fit
CENPW_1256,,,,,,,False,No valid model fit
CEP128_27003,,,,,,,False,No valid model fit
CEP131_20005,,,,,,,False,No valid model fit
CEP152_91214,,,,,,,False,No valid model fit
CEP44_25613,,,,,,,False,No valid model fit
CEP68_88462,,,,,,,False,No valid model fit
CEP70_25976,6.574116945266724,3.2937974644604657,9.382869740846832,Polynomial 2,21.36529920172753,0.1356853741488685,True,
CEP76_24797,,,,,,,False,No valid model fit
CEP78_15194,,,,,,,False,No valid model fit
CEP89_11010,,,,,,,False,No valid model fit
CEP97_22838,,,,,,,False,No valid model fit
CERS4_26099,,,,,,,False,No valid model fit
