gene,model_name,recommended,bmd,bmdl,bmdu,aic,p_value1,p_value2,p_value3,p_value4,bmr,loglikelihood
THOC6_12411,Hill,True,2.1615304871443617,0.29521300312469423,9.90227667483932,17.495233746790035,0.020738747321740525,0.37168935113892665,0.37168935113892665,0.30366855553344374,1.0 Standard Deviation,-4.7476168733950175
TIGD6_22549,Polynomial 2,True,6.771565675735474,3.3246711245621157,9.908640643626761,41.91869439769741,0.048235536025519776,0.914427621966474,0.914427621966474,0.2783955490265848,1.0 Standard Deviation,-17.959347198848704
TIMM10B_25535,Hill,True,4.4124802910837015,1.0221677534470937,-9999.0,30.155385647558703,0.01299477378336833,0.10203965257857028,0.10203965257857028,0.19055702750201808,1.0 Standard Deviation,-11.077692823779351
TIMM44_23550,Polynomial 2,True,5.6121826171875,2.44324454352462,7.29273370463559,27.546773737518194,0.0013369772748047515,0.3334052649917507,0.3334052649917507,0.46920900233637575,1.0 Standard Deviation,-10.773386868759097
TLNRD1_87388,Polynomial 2,True,6.187828779220581,2.6691445040149957,8.463657222999,30.005781867356077,0.032232173817009935,0.8149499338884776,0.8149499338884776,0.9445369359954062,1.0 Standard Deviation,-12.002890933678039
TM9SF3_7143,Hill,True,1.0315647590080514,0.0899286474232129,192.5377033585339,47.58033876404531,0.05498815548852787,0.2698181504759314,0.2698181504759314,0.8845484979777829,1.0 Standard Deviation,-19.790169382022654
TMBIM6_7153,Hill,True,0.315319594903643,0.10530597325319918,3.6286637759468867,21.0390079219829,0.02362659183193494,0.4520308064452434,0.4520308064452434,0.5281990042417859,1.0 Standard Deviation,-6.51950396099145
TMEM115_14175,Linear,True,4.449925422668457,2.90811004699349,9.373541946245748,14.62059112734007,0.011350842653663262,0.20144532310586793,0.20144532310586793,0.3729048285748745,1.0 Standard Deviation,-4.310295563670035
TMEM189_27974,Linear,True,4.179275035858154,2.7748797192638346,8.367416634983659,25.74791678522237,0.041904286534740987,0.551947539067815,0.551947539067815,0.9752134427827598,1.0 Standard Deviation,-9.873958392611184
TMEM214_24547,Linear,True,2.1745657920837402,2.0276812491430904,2.765800758504855,6.325064953069658,0.0008603933673475561,0.011503960056982954,0.20020683244035875,0.48010856471541297,1.0 Standard Deviation,-0.16253247653482905
TMEM241_19360,Hill,True,1.5857889663396716,0.4777035018412545,9.39865280275912,45.79273260525831,0.00020841398770055086,0.33633623141591085,0.33633623141591085,0.9680974724690443,1.0 Standard Deviation,-18.896366302629154
TMEM251_7199,Polynomial 2,True,6.952959299087524,3.302346736042041,10.432338557198364,45.24863134126876,0.09251867022216187,0.758150121945337,0.758150121945337,0.6483703820854674,1.0 Standard Deviation,-19.62431567063438
TMEM41A_11795,Linear,True,2.9149723052978516,2.0821550922485006,4.78534432370292,2.1787390710981756,0.0008218636078337616,0.24847848798720107,0.24847848798720107,0.8198537901465595,1.0 Standard Deviation,1.9106304644509122
TMEM44_13230,Polynomial 2,True,7.428035736083984,3.510462676017847,13.815961974789989,65.18201773830845,0.11524043100234549,0.9848714529149997,0.9848714529149997,0.223191061999077,1.0 Standard Deviation,-29.591008869154226
TMEM51_18762,Polynomial 2,True,6.739362478256226,3.190571821221717,9.81861158842088,49.7886444489686,0.028501767005213896,0.4811696883732377,0.4811696883732377,0.39146402075694087,1.0 Standard Deviation,-21.8943222244843
TMEM52_26220,Polynomial 2,True,6.487375497817993,2.976154375133161,9.161864443115919,43.27551550262298,0.033306843729885904,0.5718911634616003,0.5718911634616003,0.712085757352911,1.0 Standard Deviation,-18.63775775131149
TMEM63A_18448,Hill,True,3.9049329070017924,0.8969792319671441,-9999.0,49.7202489687116,0.09319638274869069,0.41590257911392003,0.41590257911392003,0.7303104510481833,1.0 Standard Deviation,-20.8601244843558
TNFRSF10B_23818,Polynomial 2,True,6.4131975173950195,2.769160753492045,8.984805356820821,3.1526003653137784,0.0009867104519455383,0.05038277725831275,0.05038277725831275,0.1935069910099163,1.0 Standard Deviation,1.4236998173431108
TNFRSF19_12626,Linear,True,7.32586145401001,4.060363265716259,36.97544656229998,65.71632004571745,0.057611803231766956,0.11850615488027416,0.11850615488027416,0.3448914347239329,1.0 Standard Deviation,-29.85816002285873
