,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
594,DSN1_1971,260.185721296445,-1.023167911059,0.206307934389398,-4.9594210425655,7.0703577256288e-07,3.36113928802969e-05
600,DUSP3_1987,664.596294792693,1.1499098372749899,0.286937923595886,4.00752128845291,6.135933232686071e-05,0.00136590294157461
624,EGFR_2063,379.69716977145,0.748427949548326,0.277641389128605,2.69566418716357,0.00702484478263933,0.0494403271392626
633,EIF3E_2094,7959.410716178821,0.658948887853533,0.17106159507486404,3.85211471672031,0.000117102137077008,0.00220253845650059
659,EPB41L2_2175,26.5071469709927,-1.63330181171516,0.48879297132379496,-3.3415002005689702,0.000833269563063369,0.0102725717617535
660,EPB41L4A-AS1_2179,211.71405084017502,1.47310439938905,0.167951685680355,8.771000978178071,1.77084907945628e-18,1.35188702077551e-15
681,EVL_2255,114.54632158368601,-0.901595184346039,0.27417678278645297,-3.28837174024419,0.00100768687516959,0.0119213858395177
691,EZH2_2282,387.869449628693,-1.7684093704297,0.250380327716568,-7.062892626418919,1.63071731850983e-12,4.23268987192411e-10
706,FAM20B_2318,34.9241797696546,-1.5457484052888701,0.476279171640008,-3.24546714895442,0.00117258092765661,0.0133138716352822
718,FANCI_2338,68.4360949544805,-1.04705249110404,0.369269631878106,-2.83546872180831,0.004575849554863129,0.0362479265624883
725,FAU_2359,978.22954774366,0.532657325299349,0.17718944847031698,3.00614585065758,0.00264582056473007,0.0244047329701968
738,FEN1_2387,107.787302712545,-1.8828479940476999,0.285153044047252,-6.6029384337756,4.030869731217e-11,7.633912056347109e-09
750,DUXAP9_2442,63.8828301538609,2.08151922389715,0.516978218123594,4.02631900324962,5.66568132647431e-05,0.0012737132659852
753,FN1_2459,290.267189548722,0.6781867676127371,0.24123794192438602,2.8112773728823597,0.00493452262766988,0.0382553433622479
761,FOXO4_2484,83.09743455101929,1.0879249370186401,0.244376660841439,4.45183649401173,8.51389858348537e-06,0.00026777213691044
774,G0S2_2539,435.951683024341,-1.0150358009274598,0.30270055727584005,-3.35326703743891,0.000798636133346026,0.00994692873182796
775,G3BP2_2545,223.460717971022,-0.9347589159094051,0.266110423005879,-3.5126730676338602,0.000443622979125368,0.00641129067159134
781,GABBR1_2553,144.549149916592,1.05820914492129,0.390313389751023,2.71117817812069,0.00670445881971087,0.0478605426634806
782,GABPB1_2555,498.922515581473,-0.8391263612846371,0.289585194862151,-2.89768391538138,0.0037592925207122602,0.0316805833336387
799,GATA2_2599,8.39106714168183,-5.50023263007359,1.45796239179596,-3.77254767408522,0.00016158907797891102,0.00288063606320097
801,GATAD1_2604,145.487234382,0.5868909294063019,0.20654222926196103,2.8415057371242898,0.00449010440665971,0.0358379919985422
804,GCLM_2615,1513.5684780179902,-0.7076526389449741,0.126002337215249,-5.616186608793599,1.95217826785701e-08,1.67783904372505e-06
814,GGH_2639,167.868517259402,-1.09632486794886,0.31272632758359004,-3.50570057986504,0.00045540721681496,0.00654817074973115
825,GLOD4_2670,7.072690277223611,-5.25894722904183,1.6242125194928798,-3.23784428818699,0.00120436523780879,0.0135816151084364
827,GLRX_2674,380.663836523172,0.9372911233231421,0.17073567697367098,5.48972036739387,4.02570569921724e-08,3.0375353816535703e-06
841,GNE_2710,122.24754121023199,0.666446127944977,0.19946527632515804,3.34116363621391,0.000834280369616907,0.0102725717617535
844,GNS_2725,384.715926842209,0.832388118704948,0.270487872634445,3.07735836951881,0.00208844056121149,0.0205955787259899
848,GPATCH8_2740,122.73586863045601,0.9474864101842192,0.337488674226444,2.8074613536467496,0.00499336709364142,0.03857376079838
856,GPSM3_2763,46.12638968184321,1.1684798063346102,0.238926991469302,4.890530781595441,1.0056443013466699e-06,4.5633747352717e-05
892,H2AX_2861,2162.05073267748,-1.3445822028549599,0.18516222981053798,-7.26164404171826,3.8241347245790295e-13,1.1541772198973601e-10
896,HAT1_2880,520.340512042673,-1.4759487815053502,0.31479932295228197,-4.68853861457979,2.75162998056063e-06,0.000105952780030919
909,HEIH_2921,69.1034173785581,0.7498833787788058,0.24355974169416397,3.07884781599263,0.00207802803065855,0.0205084774006742
914,HEXA_2929,265.606156209305,1.09754567776796,0.29717392585337105,3.69327717637482,0.000221382495988442,0.0036976860140772202
916,EPB41L4A-AS1_2937,186.60134057701802,1.22161775044083,0.354107540405924,3.44984958253205,0.0005608989859780509,0.00766459912613135
921,H1-2_2950,1285.20293020542,-1.2755419448623602,0.28662618793643796,-4.45019331291955,8.579302918417489e-06,0.00026894249583387004
926,H2BC14_2956,102.922251827512,-2.01385184107032,0.654551269410506,-3.07669075775227,0.00209312326435883,0.02061461451619
927,H3C10_2957,766.80588583979,-1.39709001581078,0.21806828221856303,-6.4066630946839105,1.48738989068024e-10,2.3540665855180697e-08
930,H4C12_2960,1211.0590014973,-1.3077518636143401,0.46282369372501203,-2.82559402499246,0.00471930350732535,0.0369403624355057
932,H2AC19_2964,1762.6666612359,-1.2067206834678899,0.229727154583128,-5.25284303310878,1.49769169799881e-07,9.08273030683576e-06
934,HJURP_2968,35.567141366322105,-1.08495755664685,0.344918170256536,-3.14555059781254,0.00165774517177542,0.0172666266768069
946,HLA-E_3000,41.515214669181105,1.00471472911056,0.31872100077631,3.15233300178956,0.00161971440842674,0.0169384799295425
950,HMGA2_3022,947.817325147863,0.489582278316819,0.150155119446516,3.26051006533415,0.00111212019919834,0.0127613580417295
